DATE,FLIGHT,FROM,TO,FLIGHT_TIME,STD,ATD,STA,STATUS,STATUS_COLOR,STATUS_UTC,FLIGHT_TIME_MINS
02/05,VJ1454,PQC,HAN,1h43m,14:55,15:06,17:01,Estimated 23:49,green,2026-05-02 16:49,103
02/05,VJ1453,HAN,PQC,1h52m,12:15,12:19,14:20,Landed 21:11,green,2026-05-02 14:11,112
02/05,VJ928,CGK,HAN,3h50m,07:00,07:07,11:15,Landed 17:57,green,2026-05-02 10:57,230
02/05,VJ929,HAN,CGK,4h11m,01:40,01:48,06:00,Landed 12:59,green,2026-05-02 05:59,251
30/04,VJ1458,PQC,HAN,1h47m,12:50,13:30,14:55,Landed 22:17,yellow,2026-04-30 15:17,107
30/04,VJ1457,HAN,PQC,1h56m,10:10,10:28,12:15,Landed 19:24,green,2026-04-30 12:24,116
30/04,VJ902,BKK,HAN,1h31m,07:00,07:43,08:50,Landed 16:14,yellow,2026-04-30 09:14,91
30/04,VJ901,HAN,BKK,1h45m,04:10,04:27,06:00,Landed 13:12,green,2026-04-30 06:12,105
29/04,VJ1128,SGN,HAN,1h49m,15:15,16:27,17:25,Landed 01:16,red,2026-04-29 18:16,109
29/04,VJ1127,HAN,SGN,1h49m,12:20,13:48,14:30,Landed 22:37,red,2026-04-29 15:37,109
29/04,VJ144,SGN,HAN,1h54m,08:55,10:45,11:05,Landed 19:39,red,2026-04-29 12:39,114
29/04,VJ633,DAD,SGN,1h10m,07:50,08:17,09:10,Landed 16:27,yellow,2026-04-29 09:27,70
29/04,VJ636,SGN,DAD,0h58m,06:00,06:13,07:20,Landed 14:11,green,2026-04-29 07:11,58
29/04,VJ129,HAN,SGN,1h49m,01:45,02:10,03:55,Landed 10:59,green,2026-04-29 03:59,109
28/04,VJ124,SGN,HAN,1h48m,23:05,23:16,01:15,Landed 08:04,green,2026-04-29 01:04,108
28/04,VJ129,HAN,SGN,1h50m,01:45,02:07,03:55,Landed 10:57,green,2026-04-28 03:57,110
27/04,VJ124,SGN,HAN,1h47m,23:05,23:08,01:15,Landed 07:55,green,2026-04-28 00:55,107
27/04,VJ281,HPH,SGN,1h51m,10:45,10:54,12:45,Landed 19:45,green,2026-04-27 12:45,111
27/04,VJ280,SGN,HPH,1h43m,08:15,08:18,10:15,Landed 17:01,green,2026-04-27 10:01,103
27/04,VJ305,HUI,SGN,1h4m,05:25,05:48,06:50,Landed 13:52,green,2026-04-27 06:52,64
27/04,VJ306,SGN,HUI,1h3m,03:30,03:45,04:55,Landed 11:48,green,2026-04-27 04:48,63
26/04,VJ884,BOM,SGN,4h41m,19:10,20:07,00:40,Landed 07:48,green,2026-04-27 00:48,281
26/04,VJ883,SGN,BOM,5h0m,13:05,13:20,18:10,Landed 23:50,green,2026-04-26 18:20,300
26/04,VJ853,RMQ,SGN,2h58m,07:30,07:33,11:00,Landed 17:31,green,2026-04-26 10:31,178
